,origin,timestamp,tickLower,tickUpper,amount,amount0,amount1,transaction.blockNumber
4,0x4603180bbb8221157880afaa84638e0fc467738d,1653956981,200340,200350,1094494460704856787621,22420097.03125,1008.441294449956755705,14875654
5,0x17d6e3b842f882db28c90566f26245ae51ee5727,1653956260,198900,202080,0,0,0,14875602
6,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,1653955053,200310,200320,2591417308491830347825,18806239.495339,19567.11207082560037373,14875524
7,0x4ec6b6f9bcdda4432cc134779b62bf8770d925b2,1653954533,200820,202240,15060320872295267,44999.999999,0,14875487
8,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,1653954056,200330,200340,2426432948965499548135,15029345.256236,19623.987039878281980376,14875460
9,0xff9948c8f7300a5d5f5d0495df46adbd94210769,1653953824,198700,203300,4072945377836351,24973.526651,7.203679241105154816,14875441
10,0x02b20e089eb8df85248fede288c4acf140dcc831,1653952900,200330,200640,5309255638481362,3648.288442,0,14875380
11,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653952390,200380,200510,565580692149436943,163303.964055,0,14875351
12,0x22dfec183294d257f80c15d3c9cd47495bdc728c,1653952369,199820,203190,32397540744849877,196637.459359,16.370655049750177635,14875350
13,0x82364570c1d4308901ea83c73526519086e9c624,1653952270,200320,201420,271511609250339590,649479.668193,0,14875342
14,0x2da054af93d06dc140ef84403a67ae7cea89df1c,1653951996,201680,201940,988502883528018203,533179.281435,0,14875323
15,0xd730cd62cda9cfdc109be2d819b0337fafdca959,1653951660,200410,200630,2580541293849964129,1256218.530733,0,14875305
16,0xbbbe65bfe1346f39f893b5b701269d39a148a92f,1653951035,199350,202710,0,0,0,14875258
17,0xbbbe65bfe1346f39f893b5b701269d39a148a92f,1653951035,199350,202710,1609680100770308,8026.189853,1.743873103651540576,14875258
18,0xcaf4bd0a6705503865be24c8f9106fdffca6303a,1653949852,200460,200770,296430394702285057,202374.360667,0,14875179
19,0x27f18241002c0d4899c08c76778dbb2229273dd5,1653947910,200460,200980,7575491869839044,8630.047696,0,14875048
20,0xbd1b08894bf798ce19781f32e2d4de2888cc9fcc,1653947887,200420,201500,42857128707331654,100201.701994,0,14875045
21,0xee82b58f94c17e37c56b0c29e1118408eed8ab24,1653947881,200560,201360,34424129048361076,59615.255442,0,14875044
22,0x7c7f0649abeeba4ee4c5156d9ff9e110e12217f5,1653947355,200190,203020,3420182148259570,18430.476644,0.936563964501059046,14875007
23,0x2e29938a48238bf6171af81318c1b55073c8d34c,1653947226,200800,201560,11149262099200155,18141.966278,0,14875001
24,0xd730cd62cda9cfdc109be2d819b0337fafdca959,1653946383,200440,200820,1380767757258890331,1154653.769328,0,14874928
25,0x0950541696888bcfac9af6a5c479871d3e583cac,1653946194,200670,201180,356717804230793172,394495.647786,0,14874913
26,0x0950541696888bcfac9af6a5c479871d3e583cac,1653946140,200580,201040,658648237992233057,660774.83469,0,14874911
27,0x02b20e089eb8df85248fede288c4acf140dcc831,1653945651,200550,200860,5359735242054624,3642.687094,0,14874876
28,0x82364570c1d4308901ea83c73526519086e9c624,1653945589,200480,201530,287605148396281865,652280.240447,0,14874871
29,0x13aff6b6d6ad092e8d552af8fbde6203770ad0eb,1653945589,198620,201980,70823559408091848,235372.069938,137.541173517472966417,14874871
30,0x38cd4eb0c218ef6b35b0df402c325dfaa56d0b49,1653945524,199640,201100,0,0,0,14874869
31,0x012688be61663ef6a9b7bc7d6b228035ce938147,1653945004,198970,203020,214922010541987,1099.712608,0.371282197901340808,14874826
32,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653944191,200600,200700,742357264554924656,163199.999999,0,14874769
33,0xcaf4bd0a6705503865be24c8f9106fdffca6303a,1653943867,200620,200930,309221006577922364,208356.265101,0.550929894697004047,14874754
34,0x2da054af93d06dc140ef84403a67ae7cea89df1c,1653942889,200800,200960,2562242740716638121,890951.399712,0,14874701
35,0x98f9626154f44e3f30c112e9bb48b0678568b916,1653942832,200550,201640,25053043340726493,56145.981601,1.321103043458847539,14874696
36,0xc30b79553e834b783eaab80572ecd80e7fbc7ddb,1653942788,200870,201730,22088403688513517,40428.638064,0,14874694
37,0xc6ddc3dab33cdef59dd52601d67bce5d7ac14525,1653942589,200730,200960,2990420436196419931,1497390.455809,0,14874679
38,0x82364570c1d4308901ea83c73526519086e9c624,1653942429,200630,201840,251963655216195834,651019.139779,0,14874670
39,0x0ea0696fc88e4d890b19448f6f0cf74d757c3be0,1653940499,188270,202140,0,0,0,14874528
40,0x003b810c511360f169fc55d5c8e6e8f4f4410caf,1653938986,195000,196650,0,0,0,14874419
41,0x76e40d0a69fd81826b5eb7d18145626d46eafdef,1653938708,200680,200690,909272246199309984559,19070775.961214,458.467814192432171701,14874399
42,0x1d9d6314406bb8fd09f90368c0abe666d6afa040,1653938546,200650,203000,21062169719505475,101175.277827,0.770733076796768238,14874386
43,0x02b20e089eb8df85248fede288c4acf140dcc831,1653938409,200580,200890,5421367129963935,2425.379805,0.647305438901595772,14874372
44,0xfcfd4f6dda50e2dd3f7f54da8d0ca046c6d770a3,1653936803,199160,202080,0,0,0,14874247
45,0xfcfd4f6dda50e2dd3f7f54da8d0ca046c6d770a3,1653936753,199880,203340,0,0,0,14874243
46,0xfcfd4f6dda50e2dd3f7f54da8d0ca046c6d770a3,1653936683,199820,203240,0,0,0,14874237
47,0xd730cd62cda9cfdc109be2d819b0337fafdca959,1653935895,200590,201040,1562667534520308242,1058877.494914,245.580742333144918498,14874170
48,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935667,203190,203880,119393881438554497,156788.999999,0,14874150
49,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935667,204620,205420,110911994252244648,156788.999999,0,14874150
50,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935667,202540,203190,122566586757351250,156788.999999,0,14874150
51,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935618,205420,206290,106334660519928977,156788.999999,0,14874145
52,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935580,201360,201940,129264502488095625,156788.999999,0,14874144
53,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935574,200310,200820,142865650865645949,32196.92656,65.648405272648809603,14874143
54,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935531,203880,204620,115377588996554105,156788.999999,0,14874138
55,0x6969699090d9513d12bf912b547dcb9210e95038,1653935531,197960,202970,0,0,0,14874138
56,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935528,206290,207240,108461243335833968,166865.612732,0,14874137
57,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935528,201940,202540,128696282271011965,156788.999999,0,14874137
58,0x509984bfc0fb24e2d1377cfec224d3afec4c341e,1653935516,200820,201360,135006880264065349,156788.999999,0,14874136
59,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,1653934986,200720,200730,891761742858535637512,19357992.190857,90.174045874444948581,14874097
60,0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,1653934802,200770,201090,523678816637363632,363284.223027,0,14874083
61,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,1653933688,200690,200700,911938369104726722151,18963828.552768,539.657683767501318502,14874000
62,0x431b5a84acc1297eda88259f300262f1bc3a74f3,1653933057,200660,200670,933328496248901778425,18383664.745663,1097.290480550381068864,14873949
63,0xd730cd62cda9cfdc109be2d819b0337fafdca959,1653932903,200810,201110,1611211134904131356,1046292.93249,0,14873935
64,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,1653932191,200680,200690,1072933050389530254967,18201251.411506,2773.143826924687447984,14873879
