,date,liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,tick
56,1640563200,39366940379292237243,1246744280165934817477479961713006,4038.354114538740060431551547360762,0.0002476256345127920475123982938103139,418295811.943185,102547.547513496989481362,193283
57,1640476800,41036242772063444274,1242450882683173046905222985433477,4066.312107190765157871259834597803,0.0002459230805799743902218312018722429,419209100.264889,103271.525110610795423254,193214
58,1640390400,48051833450715990889,1237528338211465401454802666273905,4098.72576885798910812643839086543,0.0002439782645616288292226463126017229,400998852.287399,98528.562972780858220743,193135
59,1640304000,38603689461200255744,1246116917370344866642254484183223,4042.421390803858198728138069400061,0.0002473764863492235734670940137560293,509746810.050683,124712.602932565305130478,193273
60,1640217600,30858586023004538507,1236026814591822417187072655044641,4108.690069984003829695997918527631,0.0002433865740581141602360728097222089,648791908.518142,161921.153247109825021996,193111
61,1640131200,26695023198352142298,1255580098943384825754386351212792,3981.716368908123946523178093123779,0.0002511479742275621854346921196759607,458171455.581268,114197.368713666906805691,193425
62,1640044800,29513134685585308813,1249979017974240548547072692237952,4017.479981305051812170874614119925,0.0002489122546107016595634076212967323,599978494.82314,150065.134656184874661116,193335
63,1639958400,27176421857428757847,1261734943444930468062784006897159,3942.964851330702622024477210304009,0.0002536162602774691682733944513137384,992263776.898021,257769.48722227550553169,193523
64,1639872000,26891614475247891889,1264671429776189812456456973653719,3924.675484000995453581419340189327,0.0002547981365788118140068886387428481,668413795.323472,169308.934923661277991507,193569
65,1639785600,27342367653764103529,1258698753377332550819938874037715,3962.00996346274194022182069979853,0.0002523971441823467357582246056035203,744829883.292761,190854.691703212529191287,193474
66,1639699200,38900398359827538872,1272693150573178637966088526197990,3875.357336643886395867332578490448,0.0002580407206696490014672057572850338,1131862765.576837,292884.06230695467024731,193695
67,1639612800,36354268496561590890,1259103353572310239608108539425691,3959.464068496468823181366910849461,0.0002525594329688489840162383878153837,817108922.601578,202285.639281646411604867,193481
68,1639526400,25631208644310002262,1249600033203234408021471924361021,4019.917232546310170638258954447241,0.000248761340632522542830017289499928,1550115032.94542,402579.473499320731145728,193329
69,1639440000,35521866219649987615,1274884944346715539464286739291526,3862.043691909062465703641484592456,0.0002589302658835757365984125944942392,918423262.429828,242281.592501057113920543,193730
70,1639353600,4219788275748208174,1289492429102298569970902548328063,3775.040143114425600903584413213639,0.0002648978453444988716954131064348163,910257017.668163,233481.142398309219234889,193958
